year,make,model,trim,body,market,headlight_low,headlight_high,parking,turn_front,side_marker_front,drl,fog_front,cornering,turn_mirror,turn_fender,tail,brake,turn_rear,reverse,license_plate,high_mount_stop,rear_fog,side_marker_rear,turn_bumper,brake_trunk,reverse_trunk,dome,map,rear_map,cargo,trunk,glovebox,vanity,door_courtesy,footwell,step_courtesy,ignition_ring,center_console,shifter,ambient,cluster,hvac,radio,switch_bank,source_1,source_2,confidence
1996,Subaru,Impreza,Brighton (US),Sedan,USDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,L/Brighton (US),Sedan,USDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,Outback Sport (US),Sedan,USDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,STI Version III (JDM),Sedan,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,STI Version III Wagon (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,Sports Wagon (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,WRX (JDM),Sedan,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,WRX Wagon (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Impreza,WRX/STI V3 (JDM),Sedan,USDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,unknown,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,GT (JDM),Sedan,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,GT (US),Sedan,USDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1157NA|BAY15d|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,H3|PK22s|2|bulb|true,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,GT-B (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,GT-B Limited (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,H3|PK22s|2|bulb|true,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,Outback (US),Sedan,USDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1157NA|BAY15d|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,TS (JDM),Sedan,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy,TS-R (JDM),Sedan,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy Lancaster,6 (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Legacy Lancaster,S (JDM),Wagon,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,SVX,LSi (US),Coupe,USDM,9006 (HB4)|P22d|2|bulb|true,9005 (HB3)|P20d|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1157|BAY15d|2|bulb|true,194|W2.1x9.5d|2|bulb|true,n/a,H3|PK22s|2|bulb|true,n/a,n/a,n/a,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|2|bulb|true,168|W2.1x9.5d|2|bulb|true,921|W3x16d|1|bulb|true,n/a,194|W2.1x9.5d|2|bulb|true,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,n/a,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,high
1996,Subaru,Sambar,Dias (JDM),Van,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Sambar,Dias SC (JDM),Van,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Sambar,Truck (JDM),Truck,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Sambar,Truck 4WD (JDM),Truck,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Sambar,Van (JDM),Van,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Sambar,Van 4WD (JDM),Van,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Sambar,Van SC (JDM),Van,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,Bistro (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,GX-R (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,RX-R (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,RX-RA (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,T-Top (JDM),Targa,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|1|bulb|true,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,ef (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
1996,Subaru,Vivio,ef 4WD (JDM),Hatchback,JDM,H4 (9003)|P43t|2|bulb|true,H4 (9003)|P43t|2|bulb|true,194|W2.1x9.5d|2|bulb|true,1156|BA15s|2|bulb|true,n/a,n/a,n/a,n/a,n/a,unknown,1157|BAY15d|2|bulb|true,1157|BAY15d|2|bulb|true,1156|BA15s|2|bulb|true,1156|BA15s|1|bulb|true,168|W2.1x9.5d|1|bulb|true,921|W3x16d|1|bulb|true,1156|BA15s|1|bulb|true,n/a,n/a,n/a,n/a,DE3175|31mm Festoon|1|bulb|true,168|W2.1x9.5d|2|bulb|true,n/a,168|W2.1x9.5d|1|bulb|true,n/a,74|T5|1|bulb|true,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Generic,,medium
