path,status,kind,type,role,purpose,confidence,notes
.agent,untracked,dir,unknown,config,Unknown; needs review,5,
lib/theme/tokens.dart,tracked,file,dart,app,Unknown; needs review,5,
lib/theme/widgets,untracked,dir,unknown,ui,Unknown; needs review,5,
lib/theme/widgets/carbon_surface.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/theme/widgets/neon_chip.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/theme/widgets/neon_divider.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/theme/widgets/neon_plate.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/theme/widgets/trim_header_card.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/widgets,untracked,dir,unknown,ui,Unknown; needs review,5,
lib/widgets/adaptive_scroll.dart,tracked,file,dart,ui,Unknown; needs review,5,
lib/widgets/home_menu_card.dart,tracked,file,dart,ui,Unknown; needs review,5,
projects,untracked,dir,unknown,config,Unknown; needs review,5,
projects/repo_scribe,untracked,dir,unknown,config,Unknown; needs review,5,
projects/repo_scribe/artifacts,untracked,dir,unknown,config,Unknown; needs review,5,
projects/repo_scribe/artifacts/ENTRYPOINTS_AND_CALLS.md,tracked,file,docs,docs,Unknown; needs review,5,
projects/repo_scribe/artifacts/FILE_INDEX.md,tracked,file,docs,docs,Unknown; needs review,5,
projects/repo_scribe/artifacts/FULL_REPO_INVENTORY.md,tracked,file,docs,docs,Unknown; needs review,5,
projects/repo_scribe/artifacts/GENERATED_AND_IGNORED_FOLDERS.md,tracked,file,docs,docs,Unknown; needs review,5,
projects/repo_scribe/artifacts/ONBOARDING_CHEATSHEET.md,tracked,file,docs,docs,Unknown; needs review,5,
projects/repo_scribe/artifacts/UNUSED_FILE_CANDIDATES.md,tracked,file,docs,docs,Unknown; needs review,5,
projects/repo_scribe/artifacts/inventory.csv,tracked,file,unknown,config,Unknown; needs review,5,
projects/repo_scribe/artifacts/inventory.json,tracked,file,config,config,Unknown; needs review,5,
projects/repo_scribe/docs_generator.py,tracked,file,script,config,Unknown; needs review,5,
projects/repo_scribe/inventory_generator.py,tracked,file,script,config,Unknown; needs review,5,
pubspec.lock,tracked,file,unknown,config,Unknown; needs review,5,
pubspec.yaml,tracked,file,config,config,Dart package dependencies and configuration,10,
scripts,untracked,dir,unknown,config,Unknown; needs review,5,
scripts/generate_engines_csv.py,tracked,file,script,tooling,Unknown; needs review,5,
scripts/generate_fluids_csv_v2.py,tracked,file,script,tooling,Unknown; needs review,5,
scripts/generate_jdm_bulbs.py,tracked,file,script,tooling,Unknown; needs review,5,
scripts/generate_jdm_vehicles.py,tracked,file,script,tooling,Unknown; needs review,5,
scripts/generate_torque_specs_csv.py,tracked,file,script,tooling,Unknown; needs review,5,
scripts/lumen_deep_resolver_v2.py,tracked,file,script,tooling,Unknown; needs review,5,
scripts/validate_engines_csv.py,tracked,file,script,tooling,Unknown; needs review,5,
test,untracked,dir,test,config,Unknown; needs review,5,
test/data,untracked,dir,test,test,Unknown; needs review,5,
test/data/db,untracked,dir,test,test,Unknown; needs review,5,
test/data/db/dao,untracked,dir,test,test,Unknown; needs review,5,
test/data/db/dao/specs_dao_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/db/dao/vehicles_dao_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed,untracked,dir,test,test,Unknown; needs review,5,
test/data/seed/brz_2024_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/brz_full_history_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/forester_classic_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/forester_gen5_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/forester_modern_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/impreza_gen1_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/impreza_gen2_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/legacy_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/outback_gen4_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/outback_modern_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/outback_separation_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/seed_parsing_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_baja_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_comprehensive_audit_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_forester_gen1_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_forester_gen2_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_forester_gen3_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_format_audit_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_impreza_gd_fluids_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_impreza_gen1_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_impreza_gen2_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_impreza_gen3_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_legacy_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_legacy_gen2_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_legacy_gen3_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_legacy_gen4_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_modern_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_outback_gen3_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_outback_gen4_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_sti_2004_wheels_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_subaru_classic_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_wrx_gen2_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/specs_wrx_sti_gen2_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/split_era_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/vehicles_validation_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/data/seed/wrx_2024_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/db_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features,untracked,dir,test,test,Unknown; needs review,5,
test/features/browse_ymm,untracked,dir,test,test,Unknown; needs review,5,
test/features/browse_ymm/browse_ymm_race_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/browse_ymm/ymm_flow_page_semantics_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/browse_ymm/ymm_flow_page_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/global_search,untracked,dir,test,test,Unknown; needs review,5,
test/features/global_search/global_search_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/home,untracked,dir,test,test,Unknown; needs review,5,
test/features/home/garage_providers_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/home/home_scroll_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/part_lookup,untracked,dir,test,test,Unknown; needs review,5,
test/features/part_lookup/part_lookup_clear_button_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/part_lookup/part_lookup_debounce_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/part_lookup/part_lookup_empty_state_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/part_lookup/part_lookup_security_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/part_lookup/part_lookup_suggestions_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/part_lookup/part_search_provider_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs,untracked,dir,test,test,Unknown; needs review,5,
test/features/specs/brz_2022_specs_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs/coverage_audit_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs/spec_list_debounce_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs/spec_list_empty_state_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs/spec_list_interaction_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs/spec_list_pagination_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs/specs_coverage_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/specs_by_category,untracked,dir,test,test,Unknown; needs review,5,
test/features/specs_by_category/category_results_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/features/vin_wizard,untracked,dir,test,test,Unknown; needs review,5,
test/features/vin_wizard/vin_wizard_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/seed_fixtures,untracked,dir,test,test,Unknown; needs review,5,
test/seed_fixtures/fitment,untracked,dir,test,test,Unknown; needs review,5,
test/seed_fixtures/fitment/bulbs.small.csv,tracked,file,test,test,Unknown; needs review,5,
test/smoke_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/specs_applicability_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/tool,untracked,dir,test,test,Unknown; needs review,5,
test/tool/seed_sync_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/widget_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/widgets,untracked,dir,test,test,Unknown; needs review,5,
test/widgets/app_initialization_test.dart,tracked,file,dart,test,Unknown; needs review,5,
test/widgets/home_menu_card_semantics_test.dart,tracked,file,dart,test,Unknown; needs review,5,
tool,untracked,dir,unknown,config,Unknown; needs review,5,
tool/seed,untracked,dir,unknown,tooling,Unknown; needs review,5,
tool/seed/sync_fitment_csv_to_specs_json.dart,tracked,file,dart,tooling,Unknown; needs review,5,
tool/seed/sync_fitment_csv_to_specs_json.py,tracked,file,script,tooling,Syncs CSV fitment data to JSON specs (CI check),10,Critical CI script
tool/seed/test_sync_fitment.py,tracked,file,script,tooling,Unknown; needs review,5,
windows,untracked,dir,unknown,config,Unknown; needs review,5,
windows/.gitignore,tracked,file,unknown,config,Unknown; needs review,5,
windows/CMakeLists.txt,tracked,file,unknown,config,Unknown; needs review,5,
windows/flutter,untracked,dir,unknown,config,Unknown; needs review,5,
windows/flutter/CMakeLists.txt,tracked,file,unknown,config,Unknown; needs review,5,
windows/flutter/generated_plugin_registrant.cc,tracked,file,unknown,config,Unknown; needs review,5,
windows/flutter/generated_plugin_registrant.h,tracked,file,unknown,config,Unknown; needs review,5,
windows/flutter/generated_plugins.cmake,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner,untracked,dir,unknown,config,Unknown; needs review,5,
windows/runner/CMakeLists.txt,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/Runner.rc,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/flutter_window.cpp,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/flutter_window.h,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/main.cpp,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/resource.h,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/resources,untracked,dir,unknown,config,Unknown; needs review,5,
windows/runner/resources/app_icon.ico,tracked,file,asset,config,Unknown; needs review,5,
windows/runner/runner.exe.manifest,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/utils.cpp,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/utils.h,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/win32_window.cpp,tracked,file,unknown,config,Unknown; needs review,5,
windows/runner/win32_window.h,tracked,file,unknown,config,Unknown; needs review,5,
